html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,relationships.type.parent,relationships.type.child,relationships.type.related,relationships.type.successor,relationships.type.predecessor
,,World Scleroderma Foundation*en,active,nonprofit;funder,,World Scleroderma Foundation*en,WSF,https://worldsclerofound.org,,worldsclerofound.org,2009,501100023833,501100023833,,,,,,,Basel,Switzerland,,,,,,
,,Cook Family Foundation*en,active,nonprofit;funder,The Cook Family Foundation*en,Cook Family Foundation*en,CFF,https://www.cookfamilyfoundation.org,,cookfamilyfoundation.org,1979,100016423,100016423,,,,,,,Owosso,United States,5004792,,,,,
,,Albert and Bettie Sacchi Foundation*en,active,nonprofit;funder,Albert & Bettie Sacchi Foundation*en;The Albert and Bettie Sacchi Foundation*en;The Albert & Bettie Sacchi Foundation*en;Sacchi Foundation*en;The Sacchi Foundation*en,Albert and Bettie Sacchi Foundation*en,,https://sacchifoundation.org,,sacchifoundation.org,2004,100027093,100027093,,,,,,,Irvine,United States,5359777,,,,,
,,Zhejiang Pharmaceutical Industry Association*en,active,nonprofit;funder,Zhejiang Pharmaceutical Association*en,Zhejiang Pharmaceutical Industry Association*en;浙江省医药行业协会*zh,ZIPA,https://www.zjsyyhyxh.com,,zjsyyhyxh.com,1994,501100020777,501100020777,,,,,,,Hangzhou,China,1808926,,,,,
,,American Pediatric Society*en,active,nonprofit;funder,"The American Pediatric Society, Inc.*en;American Pediatric Society, Inc.*en;The American Pediatric Society*en",American Pediatric Society*en,APS,https://www.aps1888.org,,aps1888.org,1888,100014188,100014188,,,,,,,The Woodlands,United States,4736476,,,,,
,,Botstiber Institute for Austrian-American Studies*en,active,nonprofit;funder,The Botstiber Institute for Austrian-American Studies*en;Institute for Austrian-American Studies*en;Botstiber BIAAS*en,Botstiber Institute for Austrian-American Studies*en,BIAAS,https://botstiberbiaas.org,,botstiberbiaas.org,2008,100013489,100013489,,,,,,,Media,United States,4559575,,,,,
,,When Everyone Survives Foundation*en,active,nonprofit;funder,WES Leukemia Research Foundation*en;When Everyone Survives*en,When Everyone Survives Foundation*en,WES Foundation;WES,https://www.wheneveryonesurvives.org,,wheneveryonesurvives.org;wesfoundation.org,2005,100025654,100025654,,,,,,,Duluth,United States,4192289,,,,,
,,Bishop Dr. Karl Golser Foundation*en,active,nonprofit;funder,Fondazione Vescovo Mons. Karl Golser*it;Bischof-Dr.-Karl-Golser-Stiftung*de,Bishop Dr. Karl Golser Foundation*en;Bischof Dr. Karl Golser Stiftung*de,,https://www.bz-bx.net/de/stiftung.html,,,2015,501100015318,501100015318,,,,,,,Bolzano,Italy,,,,,,
,,Institut des Sciences du Cerveau de Toulouse*fr,active,facility;funder,"Institut des Sciences du Cerveau, de la Cognition et du Comportement de Toulouse*fr;Toulouse Mind and Brain Institute*en",Institut des Sciences du Cerveau de Toulouse*fr;Institute for Brain Sciences of Toulouse*en,ISCT;TMBI,https://tmbi.univ-tlse3.fr,,tmbi.univ-tlse3.fr,2000,501100010962,501100010962,,,,,,,Toulouse,France,2972315,,,,,
,,Schiff Foundation*en,active,nonprofit;funder,The Schiff Foundation*en;Robert and Adele Schiff Family Foundation*en,Schiff Foundation*en,,https://www.schifffoundation.org,,schifffoundation.org,2003,100017677,100017677,,,,,,,Cincinnati,United States,4508722,,,,,
,,"Architecture and Building Research Institute, Ministry of the Interior*en",active,government;funder,"Architecture and Building Research Institute, Ministry of the Interior, ROC (Taiwan)*en;Architecture and Building Research Institute*en;建築研究所*zh","Architecture and Building Research Institute, Ministry of the Interior*en;中華民國內政部建築研究所*zh",ABRI,https://www.abri.gov.tw,,abri.gov.tw,1995,100018804,100018804,,,,,,,New Taipei City,Taiwan,1665148,,,,,
,,Sydney Eye Hospital Foundation*en,active,nonprofit;funder,Sydney Eye Hospital Foundation Ltd*en,Sydney Eye Hospital Foundation*en,,https://www.sydneyeyehospitalfoundation.org.au,,sydneyeyehospitalfoundation.org.au,1981,501100015793,501100015793,,,,,,,Sydney,Australia,6619279,,,,,
,,Agència de Residus de Catalunya*ca,active,government;funder,Agencia de Residuos de Cataluña*es,Agència de Residus de Catalunya*ca;Waste Agency of Catalonia*en,ARC,https://residus.gencat.cat,,residus.gencat.cat,2003,501100008023,501100008023,,,,,,,Barcelona,Spain,3128760,https://ror.org/01bg62x04,,,,
,,Storrs Agricultural Experiment Station*en,active,facility;funder,,Storrs Agricultural Experiment Station*en,SAES,https://cahnr.uconn.edu/research/storrs-agricultural-experiment-station/,,,1887,100011127,100011127,,,,,,,Storrs,United States,4843786,https://ror.org/02der9h97,,,,
,,Chenzhou Municipal Science and Technology Bureau*en,active,government;funder,Chenzhou Bureau of Science and Technology*en;Science and Technology Bureau of Chenzhou*en;州市科技局*zh,Chenzhou Municipal Science and Technology Bureau*en;郴州市科学技术局*zh,,http://kjj.czs.gov.cn,,kjj.czs.gov.cn,,501100016317,501100016317,,,,,,,Chenzhou,China,,,,,,
,,American Association of Obstetricians and Gynecologists Foundation*en,active,nonprofit;funder,The American Association of Obstetricians and Gynecologists Foundation*en;American Association of Obstetricians & Gynecologists Foundation*en,American Association of Obstetricians and Gynecologists Foundation*en,AAOGF,https://www.aaogf.org,,aaogf.org,1929,100029613,100029613,,,,,,,Forest Hill,United States,,,,,,
,,Xi'an Science and Technology Association*en,active,nonprofit;funder,西安市科协*zh;XI'AN ASSOCIATION FOR SCIENCE AND TECHNOLOGY*en,Xi'an Science and Technology Association*en;西安市科学技术协会*zh,XAST,https://www.xakjgzz.com,,xakjgzz.com,1958,501100016112,501100016112,,,,,,,Xi'an,China,1790630,,,,,
,,Cajamar Caja Rural (Spain),active,company;funder,"Cajamar;Cajamar Caja Rural, Sociedad Cooperativa de Crédito*es",Cajamar Caja Rural (Spain);Cajamar Caja Rural*en,,https://www.cajamar.es,,cajamar.es,2000,501100014853,501100014853,,,,,,,Almeria,Spain,2521886,,,,,
,,Schweitzer Engineering Laboratories (United States),active,company;funder,"Schweitzer Engineering Laboratories, Inc.*en",Schweitzer Engineering Laboratories (United States);Schweitzer Engineering Laboratories*en,SEL,https://selinc.com,,selinc.com,1982,100021084,100021084,,,,,,,Pullman,United States,5807540,,,,,
,,Alkek Center for Molecular Discovery*en,active,facility;funder,Albert and Margaret Alkek Center for Molecular Discovery*en,Alkek Center for Molecular Discovery*en,ACMD,https://www.bcm.edu/research/research-centers/alkek-center-for-molecular-discovery,,,2010,100012010,100012010,,,,,,,Houston,United States,,https://ror.org/02pttbw34,,,,
,,Société Française de lutte contre les Cancers et les leucémies de l'Enfant et de l'Adolescent*fr,active,nonprofit;funder,,Société Française de lutte contre les Cancers et les leucémies de l'Enfant et de l'Adolescent*fr;French Society for the Fight against Cancer and Leukemia in Children and Adolescents*en,SFCE,https://sf-cancers-enfant.com,,sf-cancers-enfant.com,2003,100018001,100018001,,,,,,,Nantes,France,2990969,,,,,
,,Wildlife Acoustics (United States),active,company;funder,"Wildlife Acoustics, Inc.*en",Wildlife Acoustics (United States);Wildlife Acoustics*en,,https://www.wildlifeacoustics.com,,wildlifeacoustics.com,2003,100024398,100024398,,,,,,,Maynard,United States,4943490,,,,,
,,Services Industriels de Genève (Switzerland),active,company;funder,Geneva Industrial Services*en,Services Industriels de Genève (Switzerland);Services Industriels de Genève*fr,SIG,https://ww2.sig-ge.ch,,sig-ge.ch,1896,501100024066,501100024066,,,,,,,Le Lignon,Switzerland,,,,,,
,,Enterprise Incubator Foundation*en,active,nonprofit;funder,,Enterprise Incubator Foundation*en;Ձեռնարկությունների Ինկուբատոր Հիմնադրամ*hy,EIF;ՁԻՀ,https://www.eif.am,,eif.am,2002,100022918,100022918,,,,,,,Yerevan,Armenia,616051,,,,,
,,Steigerwald Arzneimittelwerk (Germany),active,company;funder,Steigerwald Arzneimittelwerk GmbH*de;Steigerwald pharmaceutical factory GmbH*en,Steigerwald Arzneimittelwerk (Germany),,http://www.steigerwald.de,,steigerwald.de,1951,100020306,100020306,,,,,,,Darmstadt,Germany,2938913,https://ror.org/04hmn8g73,,,,
,,Law School Admission Council*en,active,nonprofit;funder,"Law School Admission Council Inc*en;Law School Admission Council, Inc.*en;The Law School Admission Council*en",Law School Admission Council*en,LSAC,https://www.lsac.org,,lsac.org,1947,100023775,100023775,,,,,,,Newtown,United States,,,,,,
,,Shenzhen Institute of Synthetic Biology*en,active,facility;funder,,Shenzhen Institute of Synthetic Biology*en;深圳合成生物学创新研究院*zh,iSynBio,http://www.isynbio.org.cn,,isynbio.org.cn,2018,100019176,100019176,,,,,,,Shenzhen,China,,https://ror.org/04gh4er46,,,,
,,Conference of Latin Americanist Geographers*en,active,nonprofit;funder,Conference of Latin American Geography*en;Conferencia de Geografía Latinoamericana*es,Conference of Latin Americanist Geographers*en,CLAG,https://clagscholar.org,https://en.wikipedia.org/wiki/Conference_of_Latin_Americanist_Geographers,clagscholar.org,1970,100013231,100013231,,,,,,,,United States,,,,,,
,,Ole Kirk's Fond*en,active,nonprofit;funder,Ole Kirk's Foundation*en;Ole Kirks Fond*da,Ole Kirk's Fond*en,,https://www.olekirksfond.dk,,olekirksfond.dk,1964,100020039,100020039,,,,,,,Billund,Denmark,2624144,,,,,
,,Købmand Sven Hansen og Hustru Ina Hansens Fond*da,active,nonprofit;funder,,Købmand Sven Hansen og Hustru Ina Hansens Fond*da,,https://www.svenoginahansensfond.dk,,svenoginahansensfond.dk,1971,501100008214,501100008214,,,,,,,Sorø,Denmark,2612862,,,,,
,,Conseil Départemental des Alpes-Maritimes*fr,active,government;funder,Departmental Council of Alpes-Maritimes*en,Conseil Départemental des Alpes-Maritimes*fr,,https://www.departement06.fr,,departement06.fr,,501100009465,501100009465,,,,,,,Nice,France,2990440,,,,,
,,Finnish Transport Infrastructure Agency*en,active,government;funder,Trafikledsverket*sv,Finnish Transport Infrastructure Agency*en;Väylävirasto*fi,FTIA,https://vayla.fi/en/frontpage,,,2019,501100023631,501100023631,,,,,,,Helsinki,Finland,658225,https://ror.org/00r9rdf15,,,,https://ror.org/00hef7f20
,,Nederlandse Aardolie Maatschappij (Netherlands),active,company;funder,Nederlandse Aardolie Maatschappij B.V.*nl;Nederlandse Aardolie Maatschappij BV*nl;Dutch Petroleum Company*en,Nederlandse Aardolie Maatschappij (Netherlands);Nederlandse Aardolie Maatschappij*nl,NAM,https://www.nam.nl,,nam.nl,1947,501100023550,501100023550,,,,,,,Assen,Netherlands,2759633,,,,,
,,Astor Foundation*en,active,nonprofit;funder,The Astor Foundation*en,Astor Foundation*en,,https://sites.google.com/view/astorfoundation/home,,,1962,100013954,100013954,,,,,,,London,United Kingdom,2643743,,,,,
,,Clinical Excellence Commission*en,active,government;funder,,Clinical Excellence Commission*en,CEC,https://cec.health.nsw.gov.au,,cec.health.nsw.gov.au,2004,501100008878,501100008878,,,,,,,St Leonards,Australia,2150653,https://ror.org/03tb4gf50,,,,
,,Breast Cancer Ireland*en,active,nonprofit;funder,,Breast Cancer Ireland*en,BCI,https://www.breastcancerireland.com,,breastcancerireland.com,2012,501100022610,501100022610,,,,,,,Dublin,Ireland,2964574,,,,,
,,Silverback Therapeutics (United States),inactive,company;funder,"Silverback Therapeutics, Inc.*en;Silverback Therapeutics Inc*en",Silverback Therapeutics (United States);Silverback Therapeutics*en,,https://www.silverbacktx.com,,silverbacktx.com,2016,100019504,100019504,,,,,,,Seattle,United States,5809844,,,,,
,,Naji Foundation*en,active,nonprofit;funder,Naji Foundation Inc.*en,Naji Foundation*en,NFI,https://www.najifoundationinc.org,,najifoundationinc.org,2015,100020060,100020060,,,,,,,Conyers,United States,,,,,,
,,InDependent Diabetes Trust*en,active,nonprofit;funder,The Insulin Dependent Diabetes Trust*en,InDependent Diabetes Trust*en,IDDT,https://www.iddt.org,,iddt.org,1994,100013777,100013777,,,,,,,Northampton,United Kingdom,2641430,,,,,
,,Brooke Healey Foundation*en,active,nonprofit;funder,The Brooke Healey Foundation*en,Brooke Healey Foundation*en,,https://www.brookehealey.org,,brookehealey.org,2014,100019369,100019369,,,,,,,New Providence,United States,5101775,,,,,
,,International Pediatric Research Foundation*en,active,nonprofit;funder,International Pediatric Research Foundation Inc.*en,International Pediatric Research Foundation*en,IPRF,https://www.iprf.info,,iprf.info,1966,501100012641,501100012641,,,,,,,The Woodlands,United States,4736476,,,,,
,,General Administration of Customs*en,active,government;funder,General Administration of Customs of the People's Republic of China*en;海关总署*zh,General Administration of Customs*en;中华人民共和国海关总署*zh,GACC;GAC,http://www.customs.gov.cn,https://en.wikipedia.org/wiki/General_Administration_of_Customs,customs.gov.cn,1949,501100019939,501100019939,,,,,,,Beijing,China,1816670,https://ror.org/02fzqav45,,,,
,,Society for the Study of Occupation: USA*en,active,nonprofit;funder,Society for the Study of Occupation*en;Society for the Study of Occupation in the United States*en,Society for the Study of Occupation: USA*en,SSO:USA;SSO,https://sso-usa.net,,sso-usa.net,2002,100018571,100018571,,,,,,,,United States,,,,,,
,,Society of Hospital Medicine*en,active,nonprofit;funder,National Association of Inpatient Physicians*en,Society of Hospital Medicine*en,SHM,https://www.hospitalmedicine.org,https://en.wikipedia.org/wiki/Society_of_Hospital_Medicine,hospitalmedicine.org,1997,100011014,100011014,,,,,,,Philadelphia,United States,4560349,,,,,
,,Water Services Association of Australia*en,active,nonprofit;funder,,Water Services Association of Australia*en,WSAA,https://wsaa.asn.au,,wsaa.asn.au,1995,100012723,100012723,,,,,,,Docklands,Australia,,,,,,
,,Barrett Foundation*en,active,nonprofit;funder,"Barrett Foundation, Inc.*en;Barrett Foundation Inc.*en;The Barrett Foundation*en",Barrett Foundation*en,,https://www.barrettfoundation.org,,barrettfoundation.org,1985,100020386,100020386,,,,,,,Albuquerque,United States,,,,,,
,,EIT Urban Mobility*en,active,funder;nonprofit,EIT KIC Urban Mobility S.L.*en,EIT Urban Mobility*en,EIT-UM,https://www.eiturbanmobility.eu,,eiturbanmobility.eu,2019,100016331,100016331,,,,,,,Barcelona,Spain,3128760,,,,,
,,Gaylord and Dorothy Donnelley Foundation*en,active,nonprofit;funder,Gaylord & Dorothy Donnelley Foundation*en,Gaylord and Dorothy Donnelley Foundation*en,GDDF,https://gddf.org,,gddf.org,1952,100022010,100022010,,,,,,,Chicago,United States,,,,,,
,,Maurice and Vivienne Wohl Charitable Foundation*en,active,nonprofit;funder,,Maurice and Vivienne Wohl Charitable Foundation*en,,https://www.wohl.org.uk,,wohl.org.uk,1998,501100009161,501100009161,,,,,,,,Switzerland,,,,,,
,,Association of Reptilian and Amphibian Veterinarians*en,active,nonprofit;funder,Association of Reptile and Amphibian Veterinarians*en;Association of Amphibian and Reptilian Veterinarians*en,Association of Reptilian and Amphibian Veterinarians*en,ARAV,https://arav.org,,arav.org,1990,100021450,100021450,,,,,,,Mt. Juliet,United States,4643336,,,,,
,,EPCOR Utilities Inc. (Canada),active,company;funder,EPCOR*en;EPCOR Utilities*en;Edmonton Power Corporation*en,EPCOR Utilities Inc. (Canada);EPCOR Utilities Inc.*en,,https://www.epcor.com,,epcor.com,1996,501100024060,501100024060,,,,,,,Edmonton,Canada,5946768,,,,,
,,Danish Outdoor Council*en,active,nonprofit;funder,The Outdoor Council*en,Danish Outdoor Council*en;Friluftsrådet*da,,https://friluftsraadet.dk,,friluftsraadet.dk,1942,501100023697,501100023697,,,,,,,Copenhagen,Denmark,2618425,,,,,
,,Danone Nutricia Early Life Nutrition (New Zealand),active,company;funder,Danone Nutricia NZ Limited*en,Danone Nutricia Early Life Nutrition (New Zealand),,https://nutricia.co.nz,,nutricia.co.nz,,100015767,100015767,,,,,,,Auckland,New Zealand,,https://ror.org/00aj77a24,,,,
,,China-Singapore International Joint Research Institute*en,active,other;funder,,China-Singapore International Joint Research Institute*en;中新国际联合研究院*zh,CSIJRI,http://www.csijri.com,,csijri.com,2017,100032249,100032249,,,,,,,Guangzhou,China,,,,,,
,,Global Autoimmune Institute*en,active,nonprofit;funder,Walter and Jean Boek Global Autoimmune Institute*en,Global Autoimmune Institute*en,GAI,https://www.autoimmuneinstitute.org,,autoimmuneinstitute.org,1967,100020878,100020878,,,,,,,McLean,United States,4772354,,,,,
,,Kiwanis Children's Fund*en,active,nonprofit;funder,The Kiwanis Children's Fund*en;Kiwanis*en,"Kiwanis Children's Fund*en;Kiwanis International Foundation, Inc.*en;Kiwanis International Foundation*en;Fondo Kiwanis para la Infancia*es;Fonds Kiwanis pour l'enfance*fr;Kiwanis-Kinderfonds*de;Fondo Kiwanis per i bambini*it",KCF,https://www.kiwanis.org/who-we-are/kiwanis-childrens-fund/,,,1939,100027761,100027761,,,,,,,Indianapolis,United States,4259418,,,,,
,,Shanghai Minhang District Health Commission*en,active,government;funder,Shanghai Minhang District Health Committee*en;Minhang District Health Committee*en,Shanghai Minhang District Health Commission*en;上海市闵行区卫生健康委员会*zh,,http://www.shmh.gov.cn/shmh/wjw/index.html,,,,501100020208,501100020208,,,,,,,Shanghai,China,1796236,,,,,
,,Fundación para la Investigación e Innovación Biosanitaria de Atención Primaria*es,active,nonprofit;funder,Foundation for Biomedical Research and Innovation in Primary Care*en;Fundación para la Investigación e Innovación Biomédica en Atención Primaria*es,Fundación para la Investigación e Innovación Biosanitaria de Atención Primaria*es,FIIBAP,https://fiibap.es,,fiibap.es,2015,501100025079,501100025079,,,,,,,Madrid,Spain,3117735,,,,,
,,Hillcrest Foundation*en,active,nonprofit;funder,"The Hillcrest Foundation*en;Hillcrest Foundation, Incorporated*en;Hillcrest Foundation Inc.*en;Hillcrest Foundation, Inc.*en;Hillcrest Found't'n, Inc.*en",Hillcrest Foundation*en,,https://www.bankofamerica.com/philanthropic/foundation/?fnId=89,,,1957,100020134,100020134,,,,,,,Dallas,United States,4684888,,,,,
,,American Elasmobranch Society*en,active,nonprofit;funder,The American Elasmobranch Society*en;Elasmobranch Society*en,American Elasmobranch Society*en,AES,https://elasmo.org,,elasmo.org,1983,100013448,100013448,,,,,,,Bradenton,United States,4145383,,,,,
,,Oregon Potato Commission*en,active,government;funder,,Oregon Potato Commission*en,OPC,https://www.oregonspuds.com,,oregonspuds.com,1949,100011741,100011741,,,,,,,Portland,United States,5746545,,,,,
,,P.A. Messerschmidt og Hustrus Fond*da,active,nonprofit;funder,P.A. Messerschmidt and Wife's Foundation*en;P A Messerschmidt and Wife's Foundation*en;P.A. Messerschmidt & Hustrus Fond*da;PA Messerschmidt og Hustrus Fond*da,P.A. Messerschmidt og Hustrus Fond*da,,https://pa-messerschmidtoghustrusfond.dk,,pa-messerschmidtoghustrusfond.dk,1985,501100008274,501100008274,,,,,,,Copenhagen,Denmark,,,,,,
,,Russell/Engleman Rheumatology Research Center*en,active,facility;funder,Rosalind Russell Medical Research Center for Arthritis*en;Rosalind Russell/Ephraim P. Engleman Rheumatology Research Center*en,Russell/Engleman Rheumatology Research Center*en,,https://rheumatology.ucsf.edu/russellengleman-rheumatology-research-center,,,1979,100014579,100014579,,,,,,,San Francisco,United States,,https://ror.org/043mz5j54,,,,
,,Società Italiana di Pediatria*it,active,nonprofit;funder,Italian Society of Pediatrics*en,Società Italiana di Pediatria*it,SIP,https://sip.it,,sip.it,1898,100031249,100031249,,,,,,,Rome,Italy,3169070,,,,,
,,American Acne and Rosacea Society*en,active,nonprofit;funder,American Acne & Rosacea Society*en,American Acne and Rosacea Society*en,AARS,https://acneandrosacea.org,,acneandrosacea.org,2005,100013598,100013598,,,,,,,Montclair,United States,7258296,,,,,
,,Joanna Cocozza Foundation*en,active,nonprofit;funder,The Joanna Cocozza Foundation for Research in Children's Medicine*en;The Joanna Cocozza Foundation for Children's Medical Research*en,Joanna Cocozza Foundation*en;Joanna Cocozzas stiftelse för barnmedicinsk forskning*sv,,https://hc-stiftelsen.se,,hc-stiftelsen.se,2019,100031862,100031862,,,,,,,Linköping,Sweden,,,,,,
,,Heilongjiang Academy of Medical Sciences*en,active,facility;funder,,Heilongjiang Academy of Medical Sciences*en;黑龙江省医学科学院*zh,,https://www.hrbmu.edu.cn/ssky/index.htm,,,1979,501100012567,501100012567,,,,,,,Harbin,China,2037013,https://ror.org/05jscf583,,,,
,,Association of Collegiate Schools of Planning*en,active,nonprofit;funder,"Association of Collegiate Schools of Planning, Inc.*en",Association of Collegiate Schools of Planning*en,ACSP,https://www.acsp.org,,acsp.org,1959,100029585,100029585,,,,,,,Tallahassee,United States,4174715,,,,,
,,United Nations Conference on Trade and Development*en,active,government;funder,UN Trade and Development*en,United Nations Conference on Trade and Development*en;Conférence des Nations Unies sur le commerce et le développement*fr;Conferencia de las Naciones Unidas sobre Comercio y Desarrollo*es,UNCTAD;CNUCED,https://unctad.org,,unctad.org,1964,100022760,100022760,,,,,,,Geneva,Switzerland,2660646,https://ror.org/006kxhp52,,,,
,,Western Center for Agricultural Health and Safety*en,active,facility;funder,The Western Center for Agricultural Health and Safety*en;Western Center for Agricultural Health and Safety - UC Davis*en;Western Center for Agricultural Health & Safety*en;UC Davis Western Center for Agricultural Health and Safety*en,Western Center for Agricultural Health and Safety*en,WCAHS,https://aghealth.ucdavis.edu,,aghealth.ucdavis.edu,1991,100024110,100024110,,,,,,,Davis,United States,5341704,https://ror.org/05rrcem69,,,,
,,William Guy Forbeck Research Foundation*en,active,nonprofit;funder,Forbeck Foundation*en;THE WILLIAM GUY FORBECK RESEARCH FOUNDATION*en,William Guy Forbeck Research Foundation*en,WGFRF,https://www.forbeckfoundation.org,,forbeckfoundation.org;wgfrf.org,1985,100019937,100019937,,,,,,,Carbondale,United States,5416113,,,,,
,,The Samco Foundation*en,active,nonprofit;funder,Samco Foundation*en,The Samco Foundation*en;一般財団法人サムコ科学技術振興財団*ja,,https://www.samco.co.jp/foundation/,,,2016,100019642,100019642,,,,,,,Kyoto,Japan,,,,https://ror.org/012scv568,,
,,Newman's Own Foundation*en,active,nonprofit;funder,,Newman's Own Foundation*en,,https://newmansown.org,,newmansown.org,2005,100028611,100028611,,,,,,,Westport,United States,4845585,,,,,
,,Nalu Medical (United States),active,company;funder,"Nalu Medical, Inc.*en;Nalu*en",Nalu Medical (United States),,https://nalumed.com,,nalumed.com,2014,100022877,100022877,,,,,,,Carlsbad,United States,5334223,https://ror.org/0385es521,,,,
,,Hawn Foundation*en,active,nonprofit;funder,The Hawn Foundation*en,Hawn Foundation*en;The Goldie Hawn Foundation*en,,https://www.mindup.org,,mindup.org,2003,100008923,100008923,,,,,,,Santa Monica,United States,5393212,,,,,
,,Conseil Départemental de l'Ardèche*fr,active,government;funder,Departmental Council of Ardèche*en;Conseil Général d'Ardèche*fr,Conseil Départemental de l'Ardèche*fr,,https://www.ardeche.fr,,ardeche.fr,1790,501100011554,501100011554,,,,,,,Privas,France,2985290,,,,,
,,Group Foundation for Advancing Mental Health*en,active,nonprofit;funder,Group Foundation*en;Group Psychotherapy Foundation*en,Group Foundation for Advancing Mental Health*en,GFAMH,https://agpa.org,,agpa.org,1963,100021740,100021740,,,,,,,New York,United States,5128581,,,,,
,,High Energy Photon Source*en,active,facility;funder,High-Energy Photon Source*en,High Energy Photon Source*en;高能同步辐射光源*zh,HEPS,https://heps.ihep.ac.cn,https://en.wikipedia.org/wiki/High_Energy_Photon_Source,heps.ihep.ac.cn,,501100023355,501100023355,,,,,,,Beijing,China,1816670,https://ror.org/03v8tnc06,,,,
,,Medical Device Innovation Center*en,active,facility;funder,,Medical Device Innovation Center*en;前瞻醫療器材科技中心*zh,MDIC,https://mdic.ncku.edu.tw,,mdic.ncku.edu.tw,2011,501100015702,501100015702,,,,,,,Tainan,Taiwan,,https://ror.org/01b8kcc49,,,,
,,RGL Reservoir Management (Canada),inactive,company;funder,RGL Reservoir Management Inc.*en,RGL Reservoir Management (Canada);RGL Reservoir Management*en,RGL,https://www.rglrm.com,,rglrm.com,1995,501100018863,501100018863,,,,,,,Calgary,Canada,5913490,,,,,
,,Tabula Rasa HealthCare (United States),inactive,company;funder,"Tabula Rasa HealthCare, Inc.*en",Tabula Rasa HealthCare (United States);Tabula Rasa HealthCare*en,TRHC,https://www.tabularasahealthcare.com,,tabularasahealthcare.com,2009,100019233,100019233,,,,,,,Moorestown,United States,4503106,,,,,
,,New College Foundation*en,active,nonprofit;funder,New College Foundation Incorporated*en,New College Foundation*en,,https://www.ncf.edu/alumni/foundation/,,,1966,100011497,100011497,,,,,,,Sarasota,United States,,,,https://ror.org/01cbya385,,
,,OM Pharma (Switzerland),active,company;funder,OM Pharma SA;OM Pharma Ltd,OM Pharma (Switzerland);OM Pharma*en,,https://www.ompharma.com,,ompharma.com,1937,501100024065,501100024065,,,,,,,Meyrin,Switzerland,2659667,,,,,
,,Transfield Foundation*en,inactive,nonprofit;funder,,Transfield Foundation*en,,https://www.transfield.com.au/THfirst60years/22-transfield-foundation,,,2009,501100014348,501100014348,,,,,,,Sydney,Australia,6619279,,,,,
,,Wu Yingkai Foundation for Medical Research and Development*en,active,nonprofit;funder,Wu Yingkai Foundation*en,Wu Yingkai Foundation for Medical Research and Development*en;北京吴英恺医学发展基金会*zh,,http://www.wykjjh.com,,wykjjh.com,2012,501100011815,501100011815,,,,,,,Beijing,China,,,,,,
,,Craig Newmark Philanthropies*en,active,nonprofit;funder,Craig Newmark Foundation*en,Craig Newmark Philanthropies*en,,https://craignewmarkphilanthropies.org,,craignewmarkphilanthropies.org,2015,100013343,100013343,,,,,,,San Francisco,United States,5391997,,,,,
,,Petroleum Development Oman (Oman),active,company;funder,Petroleum Development of Oman and Dhofar*en,Petroleum Development Oman (Oman);شركة تنمية نفط عمان*ar;Petroleum Development Oman*en,PDO,https://www.pdo.co.om,https://en.wikipedia.org/wiki/Petroleum_Development_Oman,pdo.co.om,1937,100032657,100032657,,,,,,,Muscat,Oman,287286,,,,,
,,Water Foundation*en,active,nonprofit;funder,The Water Foundation*en,Water Foundation*en,Water Fdn,https://waterfdn.org,,waterfdn.org,2011,100020286,100020286,,,,,,,Sacramento,United States,5389489,,,,,
,,Associazione Italiana Glicogenosi*it,active,nonprofit;funder,Glycogenosis Italian Association*en;Associazione Italiana Glicogenosi ONLUS*it;Associazione Italiana Glicogenosi ODV*it,Associazione Italiana Glicogenosi*it,AIG;AIGlico,https://www.aiglico.it,,aiglico.it,1996,100020775,100020775,,,,,,,Assago,Italy,6542529,,,,,
,,Ministry of Construction and Housing*en,active,government;funder,Ministry of Construction*en,Ministry of Construction and Housing*en;משרד הבינוי והשיכון*he,,https://moch.gov.il,,moch.gov.il,1961,501100013879,501100013879,,,,,,,Jerusalem,Israel,281184,,,,,
,,The Horse Trust*en,active,nonprofit;funder,Horse Trust*en;The Home of Rest for Horses*en,The Horse Trust*en,THT,https://horsetrust.org.uk,https://en.wikipedia.org/wiki/The_Horse_Trust,horsetrust.org.uk,1886,501100021853,501100021853,,,,,,,Princes Risborough,United Kingdom,2639888,,,,,
,,Jiangsu Key Laboratory for Chemistry of Low-Dimensional Materials*en,active,facility;funder,"Jiangsu Provincial Key Laboratory for Chemistry of Low - Dimensional Materials, HYTC*en;淮阴师范学院江苏省低维材料化学重点建设实验室*zh",Jiangsu Key Laboratory for Chemistry of Low-Dimensional Materials*en;江苏省低维材料化学重点实验室*zh,,https://dwclhx.hytc.edu.cn,,dwclhx.hytc.edu.cn,2016,501100015331,501100015331,,,,,,,Huai'an,China,1797873,https://ror.org/03xvggv44,,,,
,,Hospice Foundation of America*en,active,nonprofit;funder,,Hospice Foundation of America*en,HFA,https://hospicefoundation.org,,hospicefoundation.org,1982,100028911,100028911,,,,,,,Washington,United States,,,,,,
